X,Y
1.5436031788510622,-1.32503280231597
1.5436031784690694,-1.3250339726685474
1.543603196011594,-1.32503509807501
1.5436031956298606,-1.3250362685566253
1.5436031773532162,-1.3250373940763525
1.5436031769717309,-1.3250385646870217
1.5436031945147675,-1.3250396903416577
1.543603194133542,-1.3250408610813909
1.5436031758573625,-1.3250419868493244
1.543603175476385,-1.325043157718138
1.5436031930199334,-1.3250442836209966
1.5436031926392155,-1.325045454618899
1.5436031743635013,-1.3250465806350908
1.543603173983032,-1.325047751762099
1.5436031915270922,-1.325048877913229
1.543603191146883,-1.3250500491693527
1.5436031728716342,-1.3250511754338514
1.5436031724916732,-1.3250523468191064
1.5436031900362455,-1.325053473218559
1.5436031896565447,-1.3250546447329552
1.5436031713817613,-1.3250557712458104
1.543603171002309,-1.325056942889364
1.5436031885473933,-1.3250580695371892
1.5436031881682009,-1.32505924130991
1.545024155247785,-1.3246704126453128
1.5466605518980416,-1.3242103252352986
1.5482978408621562,-1.3237270979425642
1.5499355616287016,-1.3232207311364403
1.5515732537098108,-1.3226912343880832
1.5532104568169727,-1.32213862645899
1.5548467110364217,-1.3215629352862637
1.5564815570041017,-1.3209641979646092
1.5581145360801267,-1.320342460725098
1.5597451905227064,-1.3196977789107276
1.5613616198673943,-1.3190304918857296
1.5635428359435866,-1.3177667688788721
1.571529692072013,-1.3111036201392765
1.5793687291672776,-1.3042683811447395
1.5870564617348473,-1.297264131318688
1.5946804341964262,-1.2901838440085411
1.6025769149286804,-1.283353837968768
1.610322205508218,-1.2763536980425843
1.617906386543284,-1.2691955284716807
1.6254376606102998,-1.2620046986496094
1.633195275200111,-1.255015268483235
1.6407979271481665,-1.247858357458354
1.648242218220858,-1.2405371447706426
1.6556850834725882,-1.2332056657561297
1.6633199661491338,-1.2260393952581088
1.6707962552599223,-1.2187081146734644
1.6781106037560345,-1.21121507989815
1.685468841598437,-1.2037560811352555
1.6929896824946797,-1.196432729769922
1.7003487035580895,-1.1889466663332862
1.7075426054513192,-1.181301215273158
1.7147374597852296,-1.1738195066920718
1.7219747696612826,-1.1665401554824033
1.7290893149239779,-1.1591404527012408
1.7360792230155389,-1.1516223219340767
1.7430477137432148,-1.1443352491160188
1.750019156520106,-1.1372533436581291
1.7569195083922005,-1.1301019408848312
1.763748120801083,-1.1228817008068828
1.7705895643947804,-1.1158832255390236
1.7774390387118946,-1.1090151592495723
1.784252687967114,-1.1021114822213525
1.7910303378742443,-1.0951723655654162
1.7978262481804217,-1.0883892763611682
1.8046231636964676,-1.0816589384712356
1.8114031001679203,-1.0749114809452383
1.8181660164051943,-1.0681469423029308
1.8249427939458174,-1.061476612807885
1.831719776182063,-1.0548284518206394
1.838489513153831,-1.0481729110355413
1.8452519969013481,-1.0415099972776007
1.8520264028696052,-1.0349095764734413
1.8588011023230653,-1.028316148552247
1.8655738491998577,-1.021720714386702
1.872344642848803,-1.0151232744175491
1.8791251996928193,-1.008566942763569
1.8859071709922028,-1.0020133370277073
1.8926901360461104,-0.9954607570566004
1.8994741936241903,-0.988909605953619
1.9062648841293133,-0.9823803594928081
1.9130579470683515,-0.9758535759637638
1.919853381773923,-0.9693292563485565
1.9266517674622377,-0.9628097797747239
1.9334576221077788,-0.9563113939907301
1.940267187150566,-0.9498168869088184
1.947080460837731,-0.943326260724651
1.9538980754776956,-0.9368421485044648
1.9607229305245903,-0.9303748113852558
1.9675524674250142,-0.923912404087744
1.974386683208957,-0.9174549300042215
1.9812259533695,-0.9110039816109629
1.9880713981044436,-0.9045634289535041
1.9949219522026935,-0.8981282926667994
2.0017776120854927,-0.8916985767635964
2.0086389263362814,-0.8852766167279625
2.0155066398490784,-0.878864671595506
2.0223798740829873,-0.872458621210849
2.0292586247064164,-0.8660584703477986
2.0361430957448596,-0.8596651162730374
2.0430334991979775,-0.8532791654863621
2.049929551830343,-0.846899288139152
2.0568312491549725,-0.8405254892513024
2.063739137601931,-0.8341601490057794
2.070653415099108,-0.8278034269253385
