Time_sec,Linear_X,Angular_Z
4.506738185882568,0.18514500327094716,0.4
4.606204271316528,0.18512409713874314,0.4
4.7063210010528564,0.18254371717159135,0.4
4.806201219558716,0.18434346199179102,0.4
4.906203269958496,0.18777361962809427,0.4
5.006617546081543,0.18924929102729862,0.4
5.106104373931885,0.19740489762521252,0.3225358277878143
5.206291913986206,0.19826392286376998,0.2637115547624295
5.306227684020996,0.1996715409040303,0.11463839493733587
5.406154155731201,0.19957095433894984,-0.13102658493822153
5.506338119506836,0.19997906391608192,0.028938866041785027
5.606208562850952,0.19999333798349445,-0.01632428067790609
5.706159591674805,0.1990769162661977,-0.19222847642209126
5.806221008300781,0.19868968374013166,-0.22906326975318395
5.906219244003296,0.1991053478097553,-0.18924270016621544
6.006171226501465,0.1992391806185236,-0.17450527134524418
6.10617995262146,0.19881448200510118,-0.21787070115268664
6.2062554359436035,0.19897815923837334,-0.2022584565560454
6.3062217235565186,0.1995141276150644,-0.13943733203499975
6.406111478805542,0.19984316431430302,-0.07921014779552552
6.506298542022705,0.19981996866131221,-0.08486656693315213
6.606184005737305,0.19984762579639687,-0.07807523443020412
6.706170320510864,0.1999997381830363,-0.003236152164899697
6.806174278259277,0.1999989990061782,-0.006327699919476598
6.906162977218628,0.19998479069625869,0.024665357499380924
7.006188631057739,0.19989534811093426,-0.06470270999610858
7.1061692237854,0.19995582518672333,-0.04203638402665533
7.206153154373169,0.19991478945247035,-0.0583837644949618
7.3061323165893555,0.1999574294523109,-0.041265994709662183
7.406226873397827,0.19996573198239884,0.03702377410621223
7.506409406661987,0.1998270133275373,0.08318932989433984
7.6064229011535645,0.1995900912979678,0.12807010573334177
7.706103324890137,0.1996706600336075,0.11479205433286123
7.806210279464722,0.19993946744386012,0.04920797084956681
7.906182289123535,0.19998504983270596,0.02445432767755501
8.006398677825928,0.19998136259572424,-0.027303987799334236
8.10608959197998,0.19987164831973853,-0.07165623799025277
8.20611834526062,0.19968425908089002,-0.11239644674849432
