Time_sec,Waypoint_Index,X,Y
4.472573757171631,0,1.5961214288229881,-1.3624768834058953
4.472573757171631,1,1.5968618886273682,-1.3615454273142458
4.472573757171631,2,1.5976023484317485,-1.360613971222596
4.472573757171631,3,1.5983428082361286,-1.3596825151309466
4.472573757171631,4,1.599083268040509,-1.3587510590392968
4.472573757171631,5,1.599823727844889,-1.3578196029476473
4.472573757171631,6,1.6005641876492693,-1.3568881468559975
4.472573757171631,7,1.6013046474536494,-1.3559566907643479
4.472573757171631,8,1.6020451072580297,-1.3550252346726985
4.472573757171631,9,1.6027855670624098,-1.3540937785810487
4.472573757171631,10,1.60352602686679,-1.3531623224893992
4.472573757171631,11,1.6042664866711702,-1.3522308663977494
4.472573757171631,12,1.6050069464755503,-1.3512994103060998
4.472573757171631,13,1.6057474062799306,-1.3503679542144504
4.472573757171631,14,1.6064878660843107,-1.3494364981228006
4.472573757171631,15,1.607228325888691,-1.348505042031151
4.472573757171631,16,1.6079687856930711,-1.3475735859395013
4.472573757171631,17,1.6087092454974514,-1.3466421298478517
4.472573757171631,18,1.6094497053018315,-1.345710673756202
4.472573757171631,19,1.6101901651062116,-1.3447792176645526
4.472573757171631,20,1.610930624910592,-1.343847761572903
4.472573757171631,21,1.6116710847149718,-1.3429163054812532
4.472573757171631,22,1.612411544519352,-1.3419848493896036
4.472573757171631,23,1.6131520043237322,-1.3410533932979538
4.472573757171631,24,1.6138924641281125,-1.3401219372063045
4.472573757171631,25,1.6146329239324926,-1.3391904811146547
4.472573757171631,26,1.6153733837368727,-1.338259025023005
4.472573757171631,27,1.616113843541253,-1.3373275689313555
4.472573757171631,28,1.616854303345633,-1.3363961128397057
4.472573757171631,29,1.6175947631500134,-1.3354646567480564
4.472573757171631,30,1.6183352229543935,-1.3345332006564066
4.472573757171631,31,1.6190756827587738,-1.333601744564757
4.472573757171631,32,1.6198161425631539,-1.3326702884731074
4.472573757171631,33,1.6205566023675342,-1.3317388323814576
4.472573757171631,34,1.6212970621719143,-1.3308073762898083
4.472573757171631,35,1.6220375219762944,-1.3298759201981585
4.472573757171631,36,1.6227779817806747,-1.328944464106509
4.472573757171631,37,1.623518441585055,-1.3280130080148593
4.472573757171631,38,1.6242589013894353,-1.3270815519232098
4.472573757171631,39,1.6249993611938154,-1.3261500958315602
4.472573757171631,40,1.6257398209981955,-1.3252186397399106
4.472573757171631,41,1.6264802808025758,-1.3242871836482608
4.472573757171631,42,1.6272207406069559,-1.3233557275566112
4.472573757171631,43,1.6279612004113362,-1.3224242714649617
4.472573757171631,44,1.6287016602157163,-1.321492815373312
4.472573757171631,45,1.6294421200200966,-1.3205613592816625
4.472573757171631,46,1.6301825798244767,-1.3196299031900127
4.472573757171631,47,1.630923039628857,-1.3186984470983631
4.472573757171631,48,1.631663499433237,-1.3177669910067134
4.472573757171631,49,1.6324039592376172,-1.316835534915064
4.472573757171631,50,1.6331444190419975,-1.3159040788234144
4.472573757171631,51,1.6338848788463776,-1.3149726227317646
