Time_sec,Linear_X,Linear_Y,Angular_Z
0.4799999999997908,0.0,0.0,0.0
0.6799999999998363,0.0,0.0,0.4
0.8799999999998818,0.0,0.0,0.4
1.0809999999999036,0.0,0.0,0.4
1.280999999999949,0.1764925501937194,0.09407645681102916,0.4
1.4809999999999945,0.18111064852146497,0.0848465261052826,0.4
1.6809999999998126,0.1864384797688404,0.07239263264644882,0.4
1.8809999999998581,0.19096330350790222,0.059439184999029185,0.4
2.0809999999999036,0.19469739519475815,0.045748489640382445,0.4
2.2799999999999727,0.19755573671393234,0.031172598406540464,0.31300212533164085
2.479999999999791,0.19913999792697307,0.018527310264718988,0.18553911900663
2.6799999999998363,0.19978240091470495,0.00932696546343463,0.09330349501463298
2.8799999999998818,0.19995422527862158,0.004278760711497187,0.042790871731838154
3.0809999999999036,0.19999321910866552,0.0016469093943857344,0.016469280071609083
3.2799999999999727,0.19999983129780463,0.0002597707637170543,0.002597708367568785
3.481999999999971,0.1999992978099786,-0.0005299769009113608,-0.005299775211530688
3.6799999999998363,0.19999775434105868,-0.0009477650202145832,-0.009477685674921688
3.880999999999858,0.1999964291685512,-0.001195123352913885,-0.011951304656047546
4.079999999999927,0.19999547750136276,-0.001344982900234798,-0.013449930381320474
4.280999999999949,0.19999456771294805,-0.0014740709993232431,-0.014740843454295716
4.482999999999947,0.19999350831401885,-0.0016114069164818584,-0.016114243512876936
4.680999999999813,0.19999268127182854,-0.0017109756587472408,-0.017109965293289786
4.879999999999882,0.19999246877372334,-0.0017356364225590143,-0.017356582086715422
5.079999999999927,0.19999179585490534,-0.0018115161412137343,-0.01811540911522269
5.280999999999949,0.19999118390896034,-0.00187786013654119,-0.01877887729337591
5.479999999999791,0.19999065190086798,-0.0019336887717151807,-0.019337188994690058
5.679999999999836,0.1999901693212645,-0.0019829712181368003,-0.01983003708697262
5.880999999999858,0.19998914610525323,-0.0020836122699981197,-0.02083649962996814
6.079999999999927,0.19998892797854634,-0.0021044443427689213,-0.021044831777170755
6.280999999999949,0.19998864413010325,-0.0021312482264906063,-0.021312885643693713
6.479999999999791,0.19998764270286007,-0.0022232332655826997,-0.02223279055304506
6.679999999999836,0.1999869008444769,-0.0022889933642037674,-0.02289043338646457
6.879999999999882,0.19998689000617653,-0.0022899400990980534,-0.02289990135577602
7.080999999999904,0.19998604085386765,-0.0023629353768527678,-0.023629903526546592
7.279999999999973,0.199985243653692,-0.0024294692369833254,-0.024295289888958127
7.476999999999862,0.19998457917599244,-0.0024835643340212765,-0.024836281670041593
7.679999999999836,0.19998314824938307,-0.0025962311656100717,-0.025963040864680043
7.880999999999858,0.19998294873523825,-0.002611554165448615,-0.026116283851489227
8.079999999999927,0.19998327140089275,-0.00258672762324752,-0.02586799746209567
8.280999999999949,0.19998594171926187,-0.0023713107472448924,-0.023713663097274518
8.47999999999979,0.19998831944787204,-0.00216150050101592,-0.021615425811977614
8.679999999999836,0.19999083731081418,-0.0019144168092259384,-0.019144460451053558
8.880999999999858,0.19999315631327008,-0.0016545174087701509,-0.01654536280693164
9.080999999999904,0.19999495054414798,-0.0014211814957261343,-0.014211934561689567
9.280999999999949,0.199996147000101,-0.0012414447687985608,-0.012414527410042897
9.47999999999979,0.19999764515755786,-0.0009705315201369302,-0.009705353292362107
9.679999999999836,0.1999987568536088,-0.0007051645276547475,-0.007051659886962991
9.880999999999858,0.19999947120185912,-0.00045991192278803383,-0.0045991232812274685
10.079999999999927,0.19999985988711272,-0.00023673853777467224,-0.0023673859305821665
10.280999999999949,0.19999999890961878,-2.08842639154716e-05,-0.00020884263953413473
10.47999999999979,0.19999991207432066,0.00018753736698037815,0.0018753739446264461
10.679999999999836,0.19999962793978418,0.00038577707022083296,0.003857773094415151
10.881999999999834,0.19999913690140259,0.0005875701609431155,0.005875710061628903
11.080999999999904,0.1999984712177731,0.0007819914025055108,0.007819933950025115
11.280999999999949,0.19999756143802255,0.0009876329502395975,0.00987636964266092
11.480999999999995,0.19999664519480298,0.0011584087465560944,0.011584152236590262
11.679999999999836,0.19999572084120598,0.0013082985922220347,0.013083079229976091
11.88299999999981,0.199994315891847,0.001507849777701159,0.015078640624989204
12.080999999999904,0.19999385432383548,0.0015678752171220806,0.015678912767417286
12.280999999999949,0.19999742556108452,0.0010147753142788901,0.01014779668429755
12.47999999999979,0.199998988879962,0.0006359614711919093,0.006359625429164017
12.680999999999813,0.1999995078455304,0.0004436908221222141,0.004436911860632664
12.880999999999858,0.19999967853274875,0.00035859001262647516,0.003585902047515299
13.079999999999927,0.1982665096039126,0.026275295801981707,0.2635147326153775
13.279999999999973,0.19929246000828638,0.01680819394954651,0.168280428224773
13.47999999999979,0.1997724228990621,0.009538293822182395,0.09541913298415694
13.680999999999813,0.19992710832567423,0.005399199619769743,0.05399855643241879
13.880999999999858,0.19997596745587914,0.0031003935371452795,0.031005177270219564
14.079999999999927,0.19999143323907548,0.0018511161444996205,0.01851142575068243
14.280999999999949,0.19999528698295552,0.001373020249399115,0.013730310346138364
14.480999999999995,0.1999972410225531,0.001050515762283044,0.01050520592891857
14.680999999999813,0.1999950104676938,0.0014127236201972038,0.014127353683647037
14.879999999999882,0.199936613282822,0.00503494478572411,0.05035476767534441
15.079999999999927,0.0,0.0,0.4
15.280999999999949,0.18652819042399388,0.07216116806946991,0.4
15.47999999999979,0.0,0.0,0.4
15.679999999999836,0.0,0.0,0.4
15.879999999999882,0.17984629566940766,0.08749462802933675,0.4
16.080999999999904,0.0,0.0,0.4
16.28099999999995,0.1787489441012119,0.08971518813836282,0.4
16.47999999999979,0.1845956832532593,0.07697034314762001,0.4
16.680999999999813,0.17559551257520659,0.09574035702591921,0.4
16.87999999999988,0.18014728920426434,0.08687320756340902,0.4
17.082999999999856,0.1843901536983882,0.07746141761602858,0.4
17.28099999999995,0.19703942204082495,0.034285071996682154,0.34455252805796865
17.480999999999995,0.19751980888748558,0.0313994442156418,0.3152988585685881
17.680999999999813,0.1979373510548669,0.028649695589698328,0.2874859413686095
17.87999999999988,0.19897183921661143,0.020253572493734107,0.2028835056742491
18.080999999999904,0.19982844336742467,0.00828210247171364,0.08284471367217526
18.279999999999973,0.1989927007185748,-0.020047569945699603,-0.20081294401397187
18.480999999999995,0.19994122929710245,-0.004848177715751384,-0.04848652656263886
18.679999999999836,0.19725655193133187,-0.03301291747425207,-0.33164699320885344
18.880999999999858,0.19859456792492586,-0.023668493629971938,-0.23724090704090184
19.08199999999988,0.19881809598306813,-0.021710935255476887,-0.21753803674643235
19.28099999999995,0.19933926545267924,-0.016243683350345546,-0.16261594960162684
19.480999999999995,0.199498578770054,-0.014153341256698296,-0.1416518110735563
19.680999999999813,0.1953342004547121,-0.04294822618826474,-0.4
19.88299999999981,0.19800018316896517,-0.028212186463587544,-0.2830659618493634
20.080999999999904,0.19948673328511385,-0.014319331102878216,-0.14331593084526784
20.28099999999995,0.1959175089063275,-0.04020360312135081,-0.4
20.47999999999979,0.19915792478876257,-0.018333602860147166,-0.1835937672661152
20.679999999999836,0.19988512674236344,-0.006777618105891538,-0.06778916015871461
20.880999999999858,0.19987040270946674,-0.0071987582787314056,-0.07200313581145057
21.079999999999927,0.19559339969949127,-0.04175191006403222,-0.4
21.279999999999973,0.19758351828372717,-0.030996020754671907,-0.3112146275026477
21.47999999999979,0.19913876972409134,-0.01854050681009941,-0.18567165477250477
21.680999999999813,0.1997385635477057,-0.010222828957736796,-0.10227285655001951
21.87999999999988,0.19596106862009724,-0.03999074374489123,-0.4
