Time_sec,X,Y
0.0,1.5436031756522046,-1.32504261730897
0.013999999999896318,1.5436031931956926,-1.3250437431826234
0.0649999999998272,1.5436031928149154,-1.3250449141501504
0.11599999999998545,1.543603174539146,-1.3250460401371327
0.16699999999991633,1.5436031741586171,-1.3250472112337623
0.2179999999998472,1.5436031917026174,-1.3250483373556818
0.26900000000000546,1.5436031913223482,-1.3250495085814233
0.31999999999993634,1.5436031730470448,-1.3250506348167073
0.3709999999998672,1.5436031726670238,-1.3250518061715775
0.42200000000002547,1.5436031902115357,-1.3250529325418132
0.47299999999995634,1.543603189831775,-1.3250541040258217
0.5239999999998872,1.543603171556937,-1.3250552305094554
0.5769999999999982,1.5436031711774247,-1.3250564021226185
0.6259999999999764,1.5436031887224488,-1.3250575287412203
0.6769999999999072,1.5436031883431969,-1.3250587004835481
0.7279999999998381,1.5443186480766973,-1.3248617159532377
0.7789999999999964,1.5459545201179166,-1.3244116091602576
0.8299999999999272,1.5475914831063986,-1.32393836511869
0.8809999999998581,1.5492290765738876,-1.3234419802253765
0.9320000000000164,1.5508668399997438,-1.322922460082931
0.9829999999999472,1.5525043129868845,-1.3223798194896923
1.0339999999998781,1.5541410354373626,-1.3218140824263778
1.0850000000000364,1.555776547727517,-1.321225282039491
1.1359999999999673,1.5574103908826558,-1.3206134606214803
1.1889999999998508,1.5590421067512188,-1.3199786695876783
1.237999999999829,1.5606709339466673,-1.3193209767187695
1.2889999999999873,1.562246687632025,-1.318641655305563
1.3399999999999181,1.5680243344965383,-1.314169165487533
1.390999999999849,1.5760076130697465,-1.3074914493537153
1.4420000000000073,1.583842778758465,-1.3006417290870858
1.4929999999999382,1.5915263479978232,-1.2936230903022892
1.543999999999869,1.5994184145751944,-1.2868008772379818
1.5950000000000273,1.6072983907894245,-1.2799442413079372
1.6459999999999582,1.6150266388701098,-1.2729178254019264
1.696999999999889,1.6225832212921034,-1.265748137648725
1.74799999999982,1.6303867004528636,-1.2588149705660556
1.7989999999999782,1.6381245928894814,-1.2517974309379356
1.849999999999909,1.6457069462034588,-1.2446128082180097
1.90099999999984,1.6531303704325313,-1.2372642937038054
1.9519999999999982,1.6608487879208211,-1.2301884979463693
